"dbms","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CONSTRAINT_TYPE","REFERENCED_TABLE_SCHEMA","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
"mysql","bikerentalsystem","models","product_code","3","varchar","50",NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","models","year_of_production","5","int",NULL,NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","models","engine_volume","6","decimal",NULL,NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","models","horsepower","7","decimal",NULL,NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","models","fuel_consumption","8","decimal",NULL,NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","models","price","9","decimal",NULL,NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","models","img","10","varchar","128",NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","reservations","startDate","4","date",NULL,NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","reservations","endDate","5","date",NULL,NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","reservations","startTime","6","time",NULL,NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","reservations","endTime","7","time",NULL,NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","reservations","totalPrice","8","double",NULL,NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","reservations","comments","9","varchar","255",NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","status","statusDescription","2","varchar","10",NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","types","type","2","varchar","50",NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","users","username","2","varchar","25",NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","users","password","3","varchar","25",NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","users","email","4","varchar","100",NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","users","mobileNo","5","int",NULL,NULL,NULL,NULL,NULL
"mysql","bikerentalsystem","users","address","6","varchar","255",NULL,NULL,NULL,NULL
"mysql","dbcnp","admininfo","name","2","varchar","50",NULL,NULL,NULL,NULL
"mysql","dbcnp","admininfo","contact","3","varchar","50",NULL,NULL,NULL,NULL
"mysql","dbcnp","admininfo","email","4","varchar","50",NULL,NULL,NULL,NULL
"mysql","dbcnp","admininfo","username","5","varchar","50",NULL,NULL,NULL,NULL
"mysql","dbcnp","admininfo","password","6","varchar","50",NULL,NULL,NULL,NULL
"mysql","dbcnp","tblcnp","name","2","varchar","50",NULL,NULL,NULL,NULL
"mysql","dbcnp","tblcnp","prize","3","float",NULL,NULL,NULL,NULL,NULL
"mysql","dbcnp","tblcnp","description","4","varchar","50",NULL,NULL,NULL,NULL
"mysql","dbcnp","tblcnp","image","5","varchar","250",NULL,NULL,NULL,NULL
"mysql","dbcnp","tblcnp","status","6","varchar","50",NULL,NULL,NULL,NULL
"mysql","dbcnp","tblorders","cname","2","varchar","50",NULL,NULL,NULL,NULL
"mysql","dbcnp","tblorders","address","3","varchar","100",NULL,NULL,NULL,NULL
"mysql","dbcnp","tblorders","contact","4","varchar","50",NULL,NULL,NULL,NULL
"mysql","dbcnp","tblorders","cnpoid","5","int",NULL,NULL,NULL,NULL,NULL
"mysql","dbcnp","tblorders","oqty","6","int",NULL,NULL,NULL,NULL,NULL
"mysql","dbcnp","tblorders","ostatus","7","varchar","50",NULL,NULL,NULL,NULL
"mysql","dbcnp","tblorders","timestamp","8","timestamp",NULL,NULL,NULL,NULL,NULL
"mysql","dbcnp","tblorders","otype","9","varchar","50",NULL,NULL,NULL,NULL
"mysql","dbcnp","tblorders","datepickup","10","date",NULL,NULL,NULL,NULL,NULL
"mysql","ecommerce","orderdetails","detailOrderID","2","int",NULL,NULL,NULL,NULL,NULL
"mysql","ecommerce","orderdetails","detailProductID","3","int",NULL,NULL,NULL,NULL,NULL
"mysql","ecommerce","orders","orderUserID","2","int",NULL,NULL,NULL,NULL,NULL
"mysql","ecommerce","orders","orderPaymentID","3","int",NULL,NULL,NULL,NULL,NULL
"mysql","ecommerce","orders","date","4","date",NULL,NULL,NULL,NULL,NULL
"mysql","ecommerce","orders","status","5","int",NULL,NULL,NULL,NULL,NULL
"mysql","ecommerce","orders","total","6","int",NULL,NULL,NULL,NULL,NULL
"mysql","ecommerce","payments","paymentName","2","varchar","20",NULL,NULL,NULL,NULL
"mysql","ecommerce","payments","paymentCardNo","3","int",NULL,NULL,NULL,NULL,NULL
"mysql","ecommerce","payments","paymentCVV","4","int",NULL,NULL,NULL,NULL,NULL
"mysql","ecommerce","products","productCategoryID","2","int",NULL,NULL,NULL,NULL,NULL
"mysql","ecommerce","products","productName","3","varchar","50",NULL,NULL,NULL,NULL
"mysql","ecommerce","products","productImage","4","varchar","200",NULL,NULL,NULL,NULL
"mysql","ecommerce","products","productShortDesc","5","varchar","150",NULL,NULL,NULL,NULL
"mysql","ecommerce","products","productLongDesc","6","varchar","200",NULL,NULL,NULL,NULL
"mysql","ecommerce","products","productPrice","7","int",NULL,NULL,NULL,NULL,NULL
"mysql","ecommerce","product_categories","categoryName","2","varchar","20",NULL,NULL,NULL,NULL
"mysql","ecommerce","users","userEmail","2","varchar","50",NULL,NULL,NULL,NULL
"mysql","ecommerce","users","userPassword","3","varchar","255",NULL,NULL,NULL,NULL
"mysql","ecommerce","users","userFirstName","4","varchar","20",NULL,NULL,NULL,NULL
"mysql","ecommerce","users","userLastName","5","varchar","20",NULL,NULL,NULL,NULL
"mysql","ecommerce","users","userGender","6","varchar","5",NULL,NULL,NULL,NULL
"mysql","ecommerce","users","userPhone","7","varchar","12",NULL,NULL,NULL,NULL
"mysql","ecommerce","users","userCity","8","varchar","20",NULL,NULL,NULL,NULL
"mysql","ecommerce","users","userAddress","9","varchar","50",NULL,NULL,NULL,NULL
"mysql","ecommerce","users","userStatus","10","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","admin","loginid","3","varchar","25",NULL,NULL,NULL,NULL
"mysql","hms","admin","password","4","varchar","25",NULL,NULL,NULL,NULL
"mysql","hms","admin","status","5","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","admin","usertype","6","varchar","30",NULL,NULL,NULL,NULL
"mysql","hms","appointment","appointmenttype","2","varchar","25",NULL,NULL,NULL,NULL
"mysql","hms","billing","billingid","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","billing_records","billingservice_id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","department","departmentid","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","doctor","doctorid","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","doctor_timings","doctor_timings_id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","medicine","medicineid","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","orders","orderid","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","patient","patientid","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","payment","paymentid","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","prescription","prescriptionid","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","prescription_records","prescription_record_id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","room","roomid","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","service_type","service_type_id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","treatment","treatmentid","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","treatment_records","treatment_records_id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","user","userid","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","motobike","bikes","ID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","appointment","patientid","3","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","appointment","roomid","4","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","appointment","departmentid","5","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","appointment","appointmentdate","6","date",NULL,NULL,NULL,NULL,NULL
"mysql","hms","appointment","appointmenttime","7","time",NULL,NULL,NULL,NULL,NULL
"mysql","hms","appointment","doctorid","8","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","appointment","status","9","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","appointment","app_reason","10","text","65535",NULL,NULL,NULL,NULL
"mysql","hms","billing","patientid","2","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","billing","appointmentid","3","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","billing","billingdate","4","date",NULL,NULL,NULL,NULL,NULL
"mysql","hms","billing","billingtime","5","time",NULL,NULL,NULL,NULL,NULL
"mysql","hms","billing","discount","6","float",NULL,NULL,NULL,NULL,NULL
"mysql","hms","billing","taxamount","7","float",NULL,NULL,NULL,NULL,NULL
"mysql","hms","billing","discountreason","8","text","65535",NULL,NULL,NULL,NULL
"mysql","hms","billing","discharge_time","9","time",NULL,NULL,NULL,NULL,NULL
"mysql","hms","billing","discharge_date","10","date",NULL,NULL,NULL,NULL,NULL
"mysql","hms","billing_records","billingid","2","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","billing_records","bill_type_id","3","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","billing_records","bill_type","4","varchar","250",NULL,NULL,NULL,NULL
"mysql","hms","billing_records","bill_amount","5","float",NULL,NULL,NULL,NULL,NULL
"mysql","hms","billing_records","bill_date","6","date",NULL,NULL,NULL,NULL,NULL
"mysql","hms","billing_records","status","7","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","department","departmentname","2","varchar","100",NULL,NULL,NULL,NULL
"mysql","hms","department","description","3","text","65535",NULL,NULL,NULL,NULL
"mysql","hms","department","status","4","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","doctor","doctorname","2","varchar","50",NULL,NULL,NULL,NULL
"mysql","hms","doctor","mobileno","3","varchar","15",NULL,NULL,NULL,NULL
"mysql","hms","doctor","departmentid","4","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","doctor","loginid","5","varchar","25",NULL,NULL,NULL,NULL
"mysql","hms","doctor","password","6","varchar","25",NULL,NULL,NULL,NULL
"mysql","hms","doctor","status","7","varchar","10",NULL,NULL,NULL,NULL
"mysql","hms","doctor","education","8","varchar","25",NULL,NULL,NULL,NULL
"mysql","hms","doctor","experience","9","float",NULL,NULL,NULL,NULL,NULL
"mysql","hms","doctor","consultancy_charge","10","float",NULL,NULL,NULL,NULL,NULL
"mysql","hms","doctor_timings","doctorid","2","int",NULL,NULL,NULL,NULL,NULL
"mysql","hms","doctor_timings","start_time","3","time",NULL,NULL,NULL,NULL,NULL
"mysql","hms","doctor_timings","end_time","4","time",NULL,NULL,NULL,NULL,NULL
"mysql","hms","doctor_timings","available_day","5","varchar","15",NULL,NULL,NULL,NULL
